Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,Hoopeston Wind LLC,USA0059021,98,-34.8386,-87.7992,Wind,Hoopeston Wind LLC,U.S. Energy Information Administration
United States of America,Hoosier Wind Project LLC,USA0056878,106,-34.8386,-87.2631,Wind,EDF Renewable Asset Holdings  Inc.,U.S. Energy Information Administration
United States of America,Hoot Lake,USA0001943,130.7,-34.8386,-96.0433,Coal,Otter Tail Power Co,U.S. Energy Information Administration
United States of America,Hoover Dam AZ,USA0008902,1039.4,-34.8386,-114.738,Hydro,U S Bureau of Reclamation,U.S. Energy Information Administration
United States of America,Hoover Dam NV,USA0000154,1039.4,-34.8386,-114.738,Hydro,U S Bureau of Reclamation,U.S. Energy Information Administration
United States of America,Hope Creek LLC,USA0055572,1.9,-34.8386,-96.2192,Wind,CHI Operations Inc,U.S. Energy Information Administration
United States of America,Hopewell Cogeneration,USA0010633,399,-34.8386,-77.2811,Gas,GDF Suez NA - Hopewell,U.S. Energy Information Administration
United States of America,Hopewell Cogeneration NJ,USA0060933,4,-34.8386,-74.7715,Gas,Bristol-Myers Squibb Co,U.S. Energy Information Administration
United States of America,Hopewell Mill,USA0050813,47.6,-34.8386,-77.2816,Biomass,RockTenn-Hopewell,U.S. Energy Information Administration
United States of America,Hopewell Power Station,USA0010771,71.1,-34.8386,-77.283,Waste,Virginia Electric & Power Co,U.S. Energy Information Administration
United States of America,Hopewell Valley High School,USA0061473,1.9,-34.8386,-74.8049,Storage,Hopewell Valley High School,U.S. Energy Information Administration
United States of America,Hopkins Ridge Wind,USA0056255,156.6,-34.8386,-117.8331,Wind,Puget Sound Energy Inc,U.S. Energy Information Administration
United States of America,Hopkinton,USA0008108,4.1,-34.8386,-91.2471,Oil,City of Hopkinton - IA,U.S. Energy Information Administration
United States of America,Horn,USA0058452,1.5,-34.8386,-118.2742,Solar,CD US Solar MT 2 LLC,U.S. Energy Information Administration
United States of America,Horry Land Fill Gas Site,USA0007958,3.1,-34.8386,-78.9672,Waste,South Carolina Public Service Authority,U.S. Energy Information Administration
