Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Mr. Tanveer Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Government College University,Pakistan,2003,A†Natural Language Processing   Machine Learning   and Text Mining.,NINGUNA,NINGUNA
Adnan Akhunzada,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,0,A†Secure   Dependable Software Defined Networks   Man-at-the-End Attacks Plus Human Attacker Attribution   Profiling   Large Scale Distributed Systems (Fog   Edge   and Cloud Computing (CC)   Mobile Cloud Computing (MCC) etc.)   Remote Data Auditing   Light Weight Cryptography   Blockchain and Cryptocurrency.,NINGUNA,NINGUNA
Saif ur Rehman Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,Software Testing   Object Oriented Analysis and Design   and Formal Methods,NINGUNA,NINGUNA
Khuram Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2012,Business Intelligence   Information System Management and E-Commerce.,NINGUNA,NINGUNA
Rizwan Rashid,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,MS,Blekinge Institute of Technology,Sweden,0,SINF,NINGUNA,NINGUNA
Anis ur Rahman,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2013,Visual Perception   Computer Vision   GPGPU,NINGUNA,NINGUNA
Mian Muhammad Hamayun,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2012,Native Simulation of MPSoC   Virtualization   Software Performance Estimation and Binary Translation,NINGUNA,NINGUNA
Asad Waqar Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2012,Parallel and Distributed Simulation,NINGUNA,NINGUNA
Asad Ali Shah,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2017,Question Answering   Credibility Assessment   Information Retrieval   Information Processing   Semantic Web,NINGUNA,NINGUNA
Arsalan Ahmad,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Politecnico di Torino,Italy,2014,Energy Efficiency in Telecommunication Networks   Optical Network Optimization,NINGUNA,NINGUNA
Muhammad Zeeshan,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2016,Wireless Networks,NINGUNA,NINGUNA
Muazzam A Khan Khattak,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,"¬†University of Missouri, KC",USofA,2016,Wireless Sensor Networks   IOT   Image Encryption and Compression   Localization,NINGUNA,NINGUNA
Qaiser Riaz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Bonn,germany,2015,Human motion analysis   character animation   inertial based motion analysis   ubiquitous computing   robotics,NINGUNA,NINGUNA
Safdar Abbas Khan ,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris,France,2011,Localization in wireless sensor networks; Soft computing techniques,NINGUNA,NINGUNA
Sohail Iqbal Khan,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris-Est,France,2011,Surgical Robotics   Mathematical Modeling   Fuzzy Controllers,NINGUNA,NINGUNA
Sharifullah Khan TI,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,The University of Leeds,UK,2002,Databases   Information Retrieval,NINGUNA,NINGUNA
Maajid Maqbool,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MBA,¬†University of Windsor,Canada,1983,Management and Technology in general,NINGUNA,NINGUNA
Sana Khalique,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MS,¬†National University of Sciences and Technology-NIIT,Pakistan,2005,Distributed Computing,NINGUNA,NINGUNA
Fahad Ahmed Satti,National University of Sciences and Technology,Computing,Capital,Assistant Professor,MS,University of Trento,Italy,2014,e-learning   Big Data   Application Development,NINGUNA,NINGUNA
Muhammad Imran Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Technology,germany,0,Machine Learning,NINGUNA,NINGUNA
Mudassar Ahmad Mughal,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Stockholm University,Sweden,0,SINF,NINGUNA,NINGUNA
Nadeem Ahmed,National University of Sciences and Technology,Computing,Capital,Head of Department,PhD,"University of New South Wales, Sydney",Australia,2007,Wireless Sensor Networks   Data Centre Networking   Software Defined Networking,NINGUNA,NINGUNA
Muhammad Moazam Fraz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Kingston University London,UK,2013,Pattern Recognition   Computer Vision and Machine Learning   Medical Image Analysis,NINGUNA,NINGUNA
Muhammad Mudassir Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Vienna University of Technology,Austria,2009,Scientific and Information Visualization   Comparative Visualization   Industrial CT (HEC Approved PhD Supervisor),NINGUNA,NINGUNA
Imran Mahmood Hashmi,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,KTH Royal Institute of Technology,Sweden,2013,Software Enginneering   System Modeling and Analysis   Formal Verification,NINGUNA,NINGUNA
Saad Naeem Zafar,RIPHAH International,Computing,Capital,Dean,PhD,Griffith University,Australia,0,Software Engineering   Requirements Engineering   Software Quality   Software Engineering Education (e-Learning)   Cybersecurity (Governance   Management   Audit   Data Security and Privacy),NINGUNA,NINGUNA
Naveed Ikram,RIPHAH International,Computing,Capital,Professor/Associate Dean (Research),PhD,University of Salford,UK,2000,Empirical Software Engineering   Requirements Engineering   Usability Engineering   Global Software Development   Agile Development   Software Engineering Education,NINGUNA,NINGUNA
Rizwan Bin Faiz,RIPHAH International,Computing,Capital,SINFO,PhD,Loughborough University,UK,2010,Artificial Intelligence   Model Base Testing,NINGUNA,NINGUNA
Muhammad Zubair,RIPHAH International,Computing,Capital,SINFO,PhD,"International Islamic University,Islamabad",Pakistan,2008,Wireless Networks   Evolutionary Computing   Machine Learning,NINGUNA,NINGUNA
Muhammad Saud Khan,RIPHAH International,Computing,Capital,Assistant Professor,MS,University of Central Missouri,USofA,1997,Software Engineering Practices   Web Development   Software Project Management,PhD in progress ,
Mr. Musharif Ahmed,RIPHAH International,Computing,Capital,Assistant Professor,MS,Capital University of Science & Technology,Pakistan,2003,Data Science   Machine Learning   Software Engineering  ,PhD in progress ,
Mr. Adeel Zafar,RIPHAH International,Computing,Capital,Lecturer,PhD,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2018,SINF,NINGUNA,NINGUNA
Mr. Syed Sherjeel Ahmad Gilani,RIPHAH International,Computing,Capital,Lecturer,MS,Riphah International University,Pakistan,2011,SINF,PhD in progress,
Waseem Shahzad,FAST-NU(Islamabad),Computer Science,Capital,Professor/HoD,PhD,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2010,Data Mining   Computational Intelligence   Machine Learning   and Theory of ComputationA†,NINGUNA,NINGUNA
Ejaz Ahmed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of BedfordShire,UK,2011,Databases   Grid Computing   Cloud Computing   Information Systems and Software Applications Architecture,NINGUNA,NINGUNA
Hammad Naveed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Illinois,USofA,2012,Computational Structural Biology. He is particularly interested in computational identification of novel drug targets   drug repositioning   biophysical modelling of tissues and computational characterization of membrane proteins.,NINGUNA,NINGUNA
Hasan Mujtaba Kayani,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2010,Artificial Intelligence   Computational Intelligence   Machine Learning   Data Mining   Knowledge Discovery   Evolutionary Gaming   Machine Vision   Robotics,NINGUNA,NINGUNA
