Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Faisal Kamiran,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),Netherland,2011,Data Science   Machine Learning   Data Mining   Text Mining   Descriptive and Predictive Analytics   Social Media Analytics   Sentiment Analysis   Recommender Systems   Constrain Based Learning   Big Data,NINGUNA,NINGUNA
Saeed UL Hassan,Information Technology University,Computer Science,Punjab,Assistant Professor,Post Doc,United Nations University International Institute for Software Technology (UNU-IIST),Macau,0,Data Science   Scientific Research Informatics   Scientometrics   Alt-metrics   Information Retrieval   Data Mining   Social Media Analytics   Information Visualisation   Educational Data Mining.,NINGUNA,NINGUNA
Khurram Bhatti,Information Technology University,Computer Science,Punjab,Assistant Professor,Post Doc,KTH Royal Institute of Technology,Sweden,2014,Embedded Systems   Real-time and Mixed Criticality Systems   Parallel Computing Systems   Runtime Resource Management   Context-aware Computing   and MulticoreManycore Scheduling.,NINGUNA,NINGUNA
Suleman Mazhar,Information Technology University,Computer Science,Punjab,Assistant Professor,Post Doc,"Georgetown University,DC",USA,2010,Artificial Intelligence   Machine Learning   Experimental   Computational Neuroscience   Signal   Image Processing (AudioVideo Processing   SonarBio-Acoustics)   Wireless Sensor Networks (Environmental   Oceanographic applications),NINGUNA,NINGUNA
Falak Sher,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,RWTH Aachen University,germany,2015,Analysis of reactive   stochastic   real-time   and hybrid systems. Reduction techniques for probabilistic systems using game theory. Formal software verification   in particular model checking. Formal modeling and analysis of distributed computing. Game theory   Petrinets   process algebra   concurrency theory   mathematical logic and automata theory.,NINGUNA,NINGUNA
Yasira Waqar,Information Technology University,Computer Science,Punjab,SINFO,PhD,Columbia University,USA,2012,Educational Technology Integration at Different Levels   Use of Different Technologies to Improve Student Learning,NINGUNA,NINGUNA
Tahira Naseem,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Massachusetts Institute of Technology,USA,2014,Natural Language Processing   Probabilistic Graphical Models   Linguistics,NINGUNA,NINGUNA
Mudassir Shabbir,Information Technology University,Computer Science,Punjab,SINFO,PhD,"Rutgers State University of New Jersey, NJ",USA,0,Algorithmic and Discrete Geometry   Combinatorics   Extremal Graph Theory,NINGUNA,NINGUNA
Mohsen Ali,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,University of Florida,USA,0,solving theoretical and practical problems entailing Computer Vision and Machine Learning   specifically on the problems related to image co-segmentation   remote sensing   medical imaging and affective computing. Our group works extensively in Deep Learning   not only exploring innovative application of deep learning on existing problems but specially extending its theoretical understanding.,NINGUNA,NINGUNA
Maryam Mustafa,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Technical University of Braunschweig,germany,2015,investigating multidisciplinary approaches to HCI and computer graphics issues particularly the perception of highly realistic cg humans,NINGUNA,NINGUNA
Agha Ali Raza,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,"Carnegie Mellon University, Pittsburgh",USA,0,Speech and Language Technologies   Designing interfaces for the low-literate   Telephone-based Speech Interfaces for Access to Information by Non-literate Users   Speech Recognition.,NINGUNA,NINGUNA
Asim Karim,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,The Ohio State University,USA,2002,data mining   machine learning   and applied artificial intelligence,NINGUNA,NINGUNA
Basit Shafiq,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,Purdue University,USA,2006,Information systems security   secure distributed and networking systems   databases   multimedia information systems   semantic Web   Web services   ontology   and software testing.,NINGUNA,NINGUNA
Hamid Abdul Basit,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PostDoc,National University of Singapore,Singapore,2007,analysis and semi-automated detection of similarity patterns in software,NINGUNA,NINGUNA
Humaira Kamal,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PostDoc,University of British Columbia,Canada,2013,developing systems and techniques that improve the performance   scalability and programmability of parallel computing systems,NINGUNA,NINGUNA
Ihsan Ayyub Qazi,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Pittsburgh,USA,2010,computer networks and distributed systems and span cloud computing and datacenters   wireless networks   Internet censorship   and ICT for developing regions (including smart grids).,NINGUNA,NINGUNA
ImdadUllah Khan,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The State University of New Jersey,USA,0,SINF,NINGUNA,NINGUNA
Junaid Haroon Siddiqui,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The University of Texas at Austin,USA,2012,program analysis using static and dynamic techniques in automatic software test generation and parallel and incremental techniques in scaling algorithms for multicore processors and the intersection of these domains,NINGUNA,NINGUNA
Mian Muhammad Awais,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,"Imperial College, University of London",UK,0,development of on-line models for parametric estimation of solid fuel-fired industrial boilers,NINGUNA,NINGUNA
Muhammad Hamad Alizai,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,SD,RWTH Aachen University,germany,0,Systems and NetworksA†- IoT   CPS   WSN   ICT4DA†,NINGUNA,NINGUNA
Murtaza Taj,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Queen Mary University of London,UK,2009,object detection and tracking using multimodal sensors,NINGUNA,NINGUNA
Naveed Arshad,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor/Chair,PhD,University of Colorado¬†,USA,0,short   medium and long term forecasting of energy demand   renewable energy generation forecasting for wind and solar resources   demand side management in agricultural   residential and industrial sectors   energy efficiency   and renewable energy integration in existing building stock,NINGUNA,NINGUNA
Shafay Shamail,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Bath,UK,0,SINF,NINGUNA,NINGUNA
Suleman Shahid,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Tilburg University,Netherland,2011,assistive technologiesA†(mobile apps and VRAR systems) to enhance the quality of lifeA†of persons with disabilities (e.g. autism   dyslexia   visual impairment) and older adults   educational technologies for children (child-computer interaction)  A†and affective computing,NINGUNA,NINGUNA
Yasir Mehmood,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Pompeu Fabra University Barcelona,Spain,2016,social network analysis   mining social influence   machine learning,NINGUNA,NINGUNA
Muhammad Jawwad Zaheer¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of Management and Technology,Pakistan,0,Software Engineering,PhD in progress,
Muhammad Salman Bashir¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of the Punjab,Pakistan,2004,Software Engineering,PhD in progress from UET,
Muhammad Anwaar Saeed¬†,Virtual University,Computer Science,Punjab,Assistant Professor,PhD,National College of Business Administration and Economics,Pakistan,0,AI based Encryption Techniques and Quantum Computing,NINGUNA,NINGUNA
Hasnain Ahmed¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,2007,Computer Networks,NINGUNA,NINGUNA
Sarfraz Ahmad Awan¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,University of Management and Technology,Pakistan,0,Software Engineering,NINGUNA,NINGUNA
Yasar Mehmood¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,Punjab University College of Information Technology,Pakistan,2004,SINF,NINGUNA,NINGUNA
Asma Batool¬†,Virtual University,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,2010,Wireless Computer Networks,NINGUNA,NINGUNA
Muhammad Imran¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,0,Wireless Sensor Networks and Web programming,NINGUNA,NINGUNA
Syed Shah Muhammad Shah¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad¬†",Pakistan,2005,Computer Networks,PhD in progress from UET,
Abdul Qahhar Mohsin¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,0,Artificial Intelligence,NINGUNA,NINGUNA
Asif Hussain¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Peshawar,Pakistan,2005,Databases,NINGUNA,NINGUNA
Kanwar Abrar Ahmad¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,National College of Business Administration and Economics,Pakistan,0,Machine Learning   Data Sciences   Computer Vision   Graphics,NINGUNA,NINGUNA
Humaira Naeem¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,University of Engineering & Technology,Pakistan,2012,Web Engineering,NINGUNA,NINGUNA
Adnan Asif¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,0,Software Engineering,NINGUNA,NINGUNA
Shabib Aftab¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Lahore",Pakistan,0,Software Process Improvement   Databases   Data Warehousing,NINGUNA,NINGUNA
Noureen Hameed¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad",Pakistan,0,Databases,NINGUNA,NINGUNA
Waqar Ahmad¬†,Virtual University,Computer Science,Punjab,Lecturer,BS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,Embedded System   Computer Architecture   Logic designing and Robotics.,"MS in progress from College of Electrical and Mechanical Engineering ‚Äì National University of Sciences and Technology, Islamabad",
Amna Bibi¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"Fatima Jinnah Women University, Rawalpindi",Pakistan,0,Data Mining   Schema Extraction   Data Integration,NINGUNA,NINGUNA
Mehboob Ali¬†,Virtual University,Computer Science,Punjab,Lecturer,MS,"Kohat University of Science & Technology, Kohat",Pakistan,0,Computer Science,NINGUNA,NINGUNA
Muhammad Umar Farooq¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2017,Software Engineering,NINGUNA,NINGUNA
Shakeel Saeed¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Punjab University College of Information Technology,Pakistan,0,Software Engineering   Web Development,NINGUNA,NINGUNA
Muhammad Zafar Nazir¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Lahore",Pakistan,0,Software Engineering,NINGUNA,NINGUNA
Nadia Tabassum¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,Bahauddin Zakariya University,Pakistan,0,Computer Science,NINGUNA,NINGUNA
Muhammad Anwar¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Lahore",Pakistan,0,Software Engineering,NINGUNA,NINGUNA
Fahad Naseem¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2007,Computer Networks,NINGUNA,NINGUNA
Muhammad Qamar Usman¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"University of Agriculture, Faisalabad¬†",Pakistan,0,Databases,NINGUNA,NINGUNA
Muhammad Saqib Javed¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Phil,National College of Business Administration and Economics,Pakistan,0,Cognitive Protocol Networks,NINGUNA,NINGUNA
Khaqan Khawer¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,University of Central Punjab,Pakistan,2008,Computer Networks and Web development methodologies.,NINGUNA,NINGUNA
Madeeha Rashid¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Punjab University College of Information Technology,Pakistan,0,Software Engineering,"MS in progress from Leads University,Lahore",
Muhammad Ahmad Lodhi¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,Virtual University of Pakistan,Pakistan,0,Computer Science,NINGUNA,NINGUNA
Abdul Majid Khokhar¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,Punjab University College of Information Technology,Pakistan,0,Software Engineering,NINGUNA,NINGUNA
Saeed Nasir¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2015,SINF,NINGUNA,NINGUNA
Sohail Aamir¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Sc,"University of the Punjab,Gujranwala",Pakistan,0,Computer networks,NINGUNA,NINGUNA
Jibran Khan¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,M.Sc,University of Peshawar,Pakistan,0,Computer networks,NINGUNA,NINGUNA
Fouzia Jumani¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Akmal Khan¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,0,Computer networks,NINGUNA,NINGUNA
Waqas Ahmad¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2009,Computer Networks   Vehicular Ad-hoc Networks,NINGUNA,NINGUNA
Saima Munawar¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Lahore College for Women University,Pakistan,0,Artificial Intelligence  Software Engineering,PhD in progress from NCBA&E,
Muhammad Saeed¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,National College of Business Administration and Economics,Pakistan,0,Computer Networks,NINGUNA,NINGUNA
Sonia Salman¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,Virtual University of Pakistan,Pakistan,2008,SINF,MS in progress,
Sumbal Javaid¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,BS,"Superior University, Lahore",Pakistan,0,SINF,NINGUNA,NINGUNA
Umra Naeem¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Fatima Jinnah Women University, Rawalpindi",Pakistan,0,SINF,NINGUNA,NINGUNA
Said Nabi,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,"Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
Nabeel Amjad¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Virtual University of Pakistan,Pakistan,2015,Computer Networks,NINGUNA,NINGUNA
Komal Khawer¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MSc,Punjab University College of Information Technology,Pakistan,2008,Software Engineering,MS in progress,
Muhammad Imran Afzal¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,Punjab University College of Information Technology,Pakistan,2015,Software Engineering,NINGUNA,NINGUNA
Neelam Alam¬†,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,Virtual University of Pakistan,Pakistan,0,Web Development,NINGUNA,NINGUNA
Adeel Ashraf,University of Management and Technology,Computer Science,Punjab,Research Associate,MS,University of Management and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr Ghulam Mustafa,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,2016,SINF,NINGUNA,NINGUNA
Hadia Tazeem,University of Management and Technology,Computer Science,Punjab,Assistant Professor,Mphil,Punjab University College of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Asma Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Amjad Hussain Zahid,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Asif Subhani,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Ayesha Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Ahmad Sohail Aslam,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of South Florida,USA,0,SINF,NINGUNA,NINGUNA
Dr Adnan Shahzada,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Milano,Italy,0,SINF,NINGUNA,NINGUNA
Amjad Ali,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Sheraz Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Bilal Hassan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Nabeel Sabir Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Central Punjab,Pakistan,0,SINF,NINGUNA,NINGUNA
Fasiha Ashraf,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr Sajid Mahmood,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Tayaba Anjum,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MPhil,University of the Punjab,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr Yaser Daanial Khan,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,0,SINF,NINGUNA,NINGUNA
Dr Muhammad Shoaib Farooq,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,0,SINF,NINGUNA,NINGUNA
Dr Adnan Abid,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,Politecnico di Milano,Italy,0,SINF,NINGUNA,NINGUNA
Tehreem Yasir,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Saleem Akhtar,Minhaj University Lahore,CS & IT,Punjab,Chairman,MS,University of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Sheraz Tariq,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Minhaj University Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Hussain,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Saif Bajwa,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Sohail Irshad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,0,SINF,NINGUNA,NINGUNA
Shahaan Siddique,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Hafsa Khalid,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Punjab University College of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Zubair,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,0,SINF,NINGUNA,NINGUNA
Naveed Shah,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Shahid Saleem,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
Ahmad Hassan,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Middlesex University,UK,0,SINF,NINGUNA,NINGUNA
Saqlain Ahmad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Beijing Institute of Technology Beijing,China,0,SINF,NINGUNA,NINGUNA
Syed Younus Ali,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. M. Ahmad Akhtar,Minhaj University Lahore,CS & IT,Punjab,I.T Manager,BCS,National College of Business Administration and Economics,Pakistan,0,SINF,NINGUNA,NINGUNA
Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,UK,0,Computer Control,NINGUNA,NINGUNA
Shazia Rizwan,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor/HoD ,MS,University of the Punjab,Pakistan,0,Educational Quality Management and Databases Design,NINGUNA,NINGUNA
Syed Nouman Ali Shah,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,University of Engineering and Technology,Pakistan,0,Software Design   Architecture   Algorithms Refinement   Design Patterns   Frameworks   Enterprise Systems   Information Systems Development   Management   Knowledge Management Systems   Technology Management   Consulting   Technopreneurship   Systems Thinking.,NINGUNA,NINGUNA
Natash Ali Mian,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,Software Engineering   Requirement Engineering   Database Modeling   Software Quality Assurance   Reverse Engineering   Formal Methods   Self Adaptive Systems   Cloud Computing   Fault Tolerant Systems,PhD in progress,
Huda Sarfaraz,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Zubair Anwar,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,0,Business Processes   Strategic Management   Operations Research   Management Consultant in Strategy Planning   Operations Management   Program Management,NINGUNA,NINGUNA
Sameen Reza,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Virtual University of Pakistan,Pakistan,0,SINF,NINGUNA,NINGUNA
Amna Humayun,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Salman Butt,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,0,Finance   Business Management and Accounting,NINGUNA,NINGUNA
Saad Saleem Malik,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,0,Research based teaching,NINGUNA,NINGUNA
Tehmina Kausar,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Universtiy of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Muhammad Altaf Mukati,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Vice President/Dean,PhD,Hamdard University,Pakistan,0,SINF,NINGUNA,NINGUNA
Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,UK,0,Embedded Systems   Artificial Intelligence and Image Processing,NINGUNA,NINGUNA
Asim Riaz,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,Computing Sciences,NINGUNA,NINGUNA
Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,France,0,Networking,NINGUNA,NINGUNA
Faria Jameel,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,Computing Sciences,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,
Muhammad Asim Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MSc,University of Sunderland,UK,0,Project Management,NINGUNA,NINGUNA
Khurram Raza,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MSc,Sindh University,Pakistan,0,Mathematics,NINGUNA,NINGUNA
Shahzad Haroon,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,0,Telecommunication,NINGUNA,NINGUNA
Adeel Ahmed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,University of Florida,USA,0,Software Engineering and Programming,NINGUNA,NINGUNA
Naveed Ghani,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Staffordshire University,UK,0,Mobile Computing,PhD in progress from ISRA University,
Khalid Rasheed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Zareen Sharf,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Khawaja Mohiuddin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,"DePaul University, Chicago",USA,0,SINF,NINGUNA,NINGUNA
Ali Zaman,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,Machine Learning   TSP Optimization,NINGUNA,NINGUNA
Naila Shah,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,University of Kent,UK,0,Distributed System   Networks,NINGUNA,NINGUNA
Muhammad Ibrahim Channa,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor/Chairman,PhD,Asian Institute of Technology,Thailand,0,SINF,NINGUNA,NINGUNA
Fiza Siyal,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,ME,Mehran University of Engineering & Technology,Pakistan,0,Software Testing and Quality AssuranceA†,NINGUNA,NINGUNA
Saifullah Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,0,SINF,NINGUNA,NINGUNA
Asghar Ali Chandio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,0,Computer Vision and Pattern RecognitionA†,NINGUNA,NINGUNA
Saima Siraj Soomro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,0,SINF,NINGUNA,NINGUNA
Shah Zaman,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,NINGUNA,NINGUNA
Baqar Ali Zardari,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,0,SINF,NINGUNA,NINGUNA
Waqas Ali Sahito,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,0,SINF,MS in progress from QUEST,
